topic,link
Grounds Maintenance and Management Software,https://www.coventry.gov.uk/directory-record/58367/grounds-maintenance-and-management-software
Grounds maintenance contract,https://www.coventry.gov.uk/directory-record/43439/grounds-maintenance-contract
"Grounds Maintenance, Arboriculture, Street Cleansing Contracts",https://www.coventry.gov.uk/directory-record/47999/grounds-maintenance-arboriculture-street-cleansing-contracts
"Grounds Maintenance, street cleansing and roads term maintenance.",https://www.coventry.gov.uk/directory-record/44346/grounds-maintenance-street-cleansing-and-roads-term-maintenance-
Growth Deal Application,https://www.coventry.gov.uk/directory-record/47169/growth-deal-application
Guardian agencies.,https://www.coventry.gov.uk/directory-record/44711/guardian-agencies-
Guerrilla Gardening,https://www.coventry.gov.uk/directory-record/48880/guerrilla-gardening
Guidelines for signage and marking,https://www.coventry.gov.uk/directory-record/48735/guidelines-for-signage-and-marking
"Gypsies, Travellers and Travelling Showpeople",https://www.coventry.gov.uk/directory-record/47995/gypsies-travellers-and-travelling-showpeople
Gypsy & Traveller Sites,https://www.coventry.gov.uk/directory-record/48367/gypsy-traveller-sites
Gypsy and Traveller pitches,https://www.coventry.gov.uk/directory-record/48657/gypsy-and-traveller-pitches
Gypsy and Traveller sites,https://www.coventry.gov.uk/directory-record/43440/gypsy-and-traveller-sites
Gypsy/Traveller Accommodation,https://www.coventry.gov.uk/directory-record/48307/gypsy-traveller-accommodation
Hackney carriage proprietor details.,https://www.coventry.gov.uk/directory-record/43703/hackney-carriage-proprietor-details-
Hale Street shared space,https://www.coventry.gov.uk/directory-record/47966/hale-street-shared-space
Hales Street/Whittle Arch Bus Lane,https://www.coventry.gov.uk/directory-record/43531/hales-street-whittle-arch-bus-lane
Hales Street/Whittle Arch TRO,https://www.coventry.gov.uk/directory-record/48377/hales-street-whittle-arch-tro
Half Hourly (00 Profile) sites and their electricity kwh usage.,https://www.coventry.gov.uk/directory-record/44710/half-hourly-00-profile-sites-and-their-electricity-kwh-usage-
Hand Arm Vibration Syndrome payments.,https://www.coventry.gov.uk/directory-record/44345/hand-arm-vibration-syndrome-payments-
Hand-arm vibration syndrome compensation,https://www.coventry.gov.uk/directory-record/57773/hand-arm-vibration-syndrome-compensation
Handed back contracts involving residential care homes ,https://www.coventry.gov.uk/directory-record/57274/handed-back-contracts-involving-residential-care-homes-
Harassment and assaults children in maintained schools,https://www.coventry.gov.uk/directory-record/46774/harassment-and-assaults-children-in-maintained-schools
Hard and Soft Facilities Management contracts.,https://www.coventry.gov.uk/directory-record/46247/hard-and-soft-facilities-management-contracts-
Hardware Maintenance and Costs Relevant to IT,https://www.coventry.gov.uk/directory-record/46790/hardware-maintenance-and-costs-relevant-to-it
Harry Weston Papers,https://www.coventry.gov.uk/directory-record/43798/harry-weston-papers
Hate crime,https://www.coventry.gov.uk/directory-record/57924/hate-crime
Hate Crime,https://www.coventry.gov.uk/directory-record/45365/hate-crime
Haunted buildings,https://www.coventry.gov.uk/directory-record/44937/haunted-buildings
Hazardous substances consent.,https://www.coventry.gov.uk/directory-record/43441/hazardous-substances-consent-
HCV and hepatitis C.,https://www.coventry.gov.uk/directory-record/44211/hcv-and-hepatitis-c-
"Head of Education, SEN and School Improvement",https://www.coventry.gov.uk/directory-record/48086/head-of-education-sen-and-school-improvement
Head of Fostering.,https://www.coventry.gov.uk/directory-record/44527/head-of-fostering-
Head Teacher Salaries,https://www.coventry.gov.uk/directory-record/47302/head-teacher-salaries
Heads of Service for each Council Department,https://www.coventry.gov.uk/directory-record/48040/heads-of-service-for-each-council-department
Headstone removed from Coombe Abbey,https://www.coventry.gov.uk/directory-record/45790/headstone-removed-from-coombe-abbey
Health & Safety at Amazon premises,https://www.coventry.gov.uk/directory-record/45737/health-safety-at-amazon-premises
Health & Safety Competence by Contractors,https://www.coventry.gov.uk/directory-record/48381/health-safety-competence-by-contractors
Health & Safety Prosecutions for the fitting of stair lifts etc,https://www.coventry.gov.uk/directory-record/48033/health-safety-prosecutions-for-the-fitting-of-stair-lifts-etc
Health & Safety Work Related Deaths,https://www.coventry.gov.uk/directory-record/48409/health-safety-work-related-deaths
Health & Well being boards.,https://www.coventry.gov.uk/directory-record/45120/health-well-being-boards-
Health & Wellbeing - Naloxone,https://www.coventry.gov.uk/directory-record/48587/health-wellbeing-naloxone
Health and Safety and Safeguarding policies that apply to LA maintained schools,https://www.coventry.gov.uk/directory-record/47434/health-and-safety-and-safeguarding-policies-that-apply-to-la-maintained-schools
Health and safety inspections,https://www.coventry.gov.uk/directory-record/48839/health-and-safety-inspections
Health and safety investigations,https://www.coventry.gov.uk/directory-record/47142/health-and-safety-investigations
Health and Safety Standards at Events for Escapology,https://www.coventry.gov.uk/directory-record/47381/health-and-safety-standards-at-events-for-escapology
Health and Social Care,https://www.coventry.gov.uk/directory-record/47319/health-and-social-care
Health and wellbeing board and community pharmacies.,https://www.coventry.gov.uk/directory-record/43702/health-and-wellbeing-board-and-community-pharmacies-
Health and Wellbeing Board and Health Overview and Scrutiny Panel.,https://www.coventry.gov.uk/directory-record/43434/health-and-wellbeing-board-and-health-overview-and-scrutiny-panel-
Health and Wellbeing Board Better Care Fund,https://www.coventry.gov.uk/directory-record/45886/health-and-wellbeing-board-better-care-fund
Health and Wellbeing Board documents.,https://www.coventry.gov.uk/directory-record/44210/health-and-wellbeing-board-documents-
"Health and wellbeing board, contracts for drug alcohol treatment services and spend.",https://www.coventry.gov.uk/directory-record/46148/health-and-wellbeing-board-contracts-for-drug-alcohol-treatment-services-and-spend-
Health Checks and Lifestyle Services,https://www.coventry.gov.uk/directory-record/46910/health-checks-and-lifestyle-services
Health in schools,https://www.coventry.gov.uk/directory-record/48903/health-in-schools
Health Visitors,https://www.coventry.gov.uk/directory-record/43556/health-visitors
Healthwatch,https://www.coventry.gov.uk/directory-record/45036/healthwatch
Healthwatch.,https://www.coventry.gov.uk/directory-record/46021/healthwatch-
Healthy Schools Programme ,https://www.coventry.gov.uk/directory-record/46993/healthy-schools-programme-
Hearing impaired children,https://www.coventry.gov.uk/directory-record/44319/hearing-impaired-children
Heatline contractors.,https://www.coventry.gov.uk/directory-record/44442/heatline-contractors-
Heatline project,https://www.coventry.gov.uk/directory-record/44709/heatline-project
Heatline project,https://www.coventry.gov.uk/directory-record/45035/heatline-project
Heatline project,https://www.coventry.gov.uk/directory-record/45206/heatline-project
Heavy Goods Vehicles,https://www.coventry.gov.uk/directory-record/45367/heavy-goods-vehicles
Heavy Vehicles owned/leased by the Council,https://www.coventry.gov.uk/directory-record/45783/heavy-vehicles-owned-leased-by-the-council
Help for residents with cost of living,https://www.coventry.gov.uk/directory-record/57425/help-for-residents-with-cost-of-living
Heritage Champion,https://www.coventry.gov.uk/directory-record/43973/heritage-champion
Hertford Street improvement costs,https://www.coventry.gov.uk/directory-record/47061/hertford-street-improvement-costs
Hertford Street: property lease,https://www.coventry.gov.uk/directory-record/48750/hertford-street-property-lease
HGV & LGV Driver Shortages,https://www.coventry.gov.uk/directory-record/57309/hgv-lgv-driver-shortages
HGV class 2 Drivers,https://www.coventry.gov.uk/directory-record/57508/hgv-class-2-drivers
HGV driver/Bin collection industrial dispute,https://www.coventry.gov.uk/directory-record/57615/hgv-driver-bin-collection-industrial-dispute
HHSRS and prosecutions made,https://www.coventry.gov.uk/directory-record/45864/hhsrs-and-prosecutions-made
High hedge complaint costs,https://www.coventry.gov.uk/directory-record/44441/high-hedge-complaint-costs
High needs budgets,https://www.coventry.gov.uk/directory-record/48976/high-needs-budgets
High Needs Top-Up & Banding Allocations,https://www.coventry.gov.uk/directory-record/57940/high-needs-top-up-banding-allocations
High rise buildings,https://www.coventry.gov.uk/directory-record/57791/high-rise-buildings
High Rise Residential Tower block,https://www.coventry.gov.uk/directory-record/48670/high-rise-residential-tower-block
High speed rail (HS2) related expenditure,https://www.coventry.gov.uk/directory-record/46149/high-speed-rail-hs2-related-expenditure
High Streets Task Force,https://www.coventry.gov.uk/directory-record/48769/high-streets-task-force
Highest income council car park 2013/14,https://www.coventry.gov.uk/directory-record/45912/highest-income-council-car-park-2013-14
Highest number of parking tickets issued.,https://www.coventry.gov.uk/directory-record/44938/highest-number-of-parking-tickets-issued-
Highway Agreements.,https://www.coventry.gov.uk/directory-record/46322/highway-agreements-
Highway and Environmental Services,https://www.coventry.gov.uk/directory-record/46938/highway-and-environmental-services
Highway damage caused by spills 2004-2015,https://www.coventry.gov.uk/directory-record/47555/highway-damage-caused-by-spills-2004-2015
Highway inspection records for Canley Road.,https://www.coventry.gov.uk/directory-record/44528/highway-inspection-records-for-canley-road-
Highway inspection records: 20098219,https://www.coventry.gov.uk/directory-record/45119/highway-inspection-records-20098219
Highway Inspection Records: 20122886,https://www.coventry.gov.uk/directory-record/46690/highway-inspection-records-20122886
Highway inspection report,https://www.coventry.gov.uk/directory-record/48916/highway-inspection-report
Highway Inspection Reports,https://www.coventry.gov.uk/directory-record/46691/highway-inspection-reports
Highway inspections and maintenance of Marlston Walk and Frilsham Way.,https://www.coventry.gov.uk/directory-record/44708/highway-inspections-and-maintenance-of-marlston-walk-and-frilsham-way-
Highway inspections: 20090181,https://www.coventry.gov.uk/directory-record/45266/highway-inspections-20090181
Highway inspections: 20093091,https://www.coventry.gov.uk/directory-record/45203/highway-inspections-20093091
Highway inspections: 20093879,https://www.coventry.gov.uk/directory-record/45204/highway-inspections-20093879
Highway inspections: 20096151,https://www.coventry.gov.uk/directory-record/45118/highway-inspections-20096151
Highway inspections: 20102030,https://www.coventry.gov.uk/directory-record/45034/highway-inspections-20102030
Highway inspections: 20107207,https://www.coventry.gov.uk/directory-record/44839/highway-inspections-20107207
Highway Maintenance issues.,https://www.coventry.gov.uk/directory-record/43435/highway-maintenance-issues-
Highway Parking Sensors,https://www.coventry.gov.uk/directory-record/48722/highway-parking-sensors
Highway personal injury claims,https://www.coventry.gov.uk/directory-record/46746/highway-personal-injury-claims
Highway schemes to reduce accidents,https://www.coventry.gov.uk/directory-record/45795/highway-schemes-to-reduce-accidents
Highways - Road and Traffic Schemes,https://www.coventry.gov.uk/directory-record/57266/highways-road-and-traffic-schemes
Highways Department - New Roads and Street Works Act,https://www.coventry.gov.uk/directory-record/46689/highways-department-new-roads-and-street-works-act
Highways Maintenance Policy and Pavement Policy.,https://www.coventry.gov.uk/directory-record/46323/highways-maintenance-policy-and-pavement-policy-
Hipswell Highway traffic calming scheme,https://www.coventry.gov.uk/directory-record/48789/hipswell-highway-traffic-calming-scheme
Hire test purchases for Taxis,https://www.coventry.gov.uk/directory-record/45033/hire-test-purchases-for-taxis
Hiring celebrities for local events,https://www.coventry.gov.uk/directory-record/44097/hiring-celebrities-for-local-events
Historic birth registrations since January 2019,https://www.coventry.gov.uk/directory-record/49183/historic-birth-registrations-since-january-2019
Historic building repairs ,https://www.coventry.gov.uk/directory-record/48957/historic-building-repairs-
HIV prevention activity and spend.,https://www.coventry.gov.uk/directory-record/46022/hiv-prevention-activity-and-spend-
HIV/Support for Sex Workers Contract,https://www.coventry.gov.uk/directory-record/46023/hiv-support-for-sex-workers-contract
HIV/Support for Sex Workers tender.,https://www.coventry.gov.uk/directory-record/43701/hiv-support-for-sex-workers-tender-
HMO licensed properties.,https://www.coventry.gov.uk/directory-record/46150/hmo-licensed-properties-
HMO Licensing,https://www.coventry.gov.uk/directory-record/48349/hmo-licensing
HMO Register: REQ01087,https://www.coventry.gov.uk/directory-record/47846/hmo-register-req01087
HMO Register: REQ02210,https://www.coventry.gov.uk/directory-record/48411/hmo-register-req02210
HMRC off payroll compliance,https://www.coventry.gov.uk/directory-record/44313/hmrc-off-payroll-compliance
Holdings report of the public authority.,https://www.coventry.gov.uk/directory-record/43988/holdings-report-of-the-public-authority-
Holiday Provision,https://www.coventry.gov.uk/directory-record/48149/holiday-provision
Home and residential care for adults.,https://www.coventry.gov.uk/directory-record/46324/home-and-residential-care-for-adults-
Home Care,https://www.coventry.gov.uk/directory-record/47407/home-care
Home care hours and costs.,https://www.coventry.gov.uk/directory-record/44936/home-care-hours-and-costs-
Home Care Prices,https://www.coventry.gov.uk/directory-record/47810/home-care-prices
Home Delivered Meals Service to Elderly Residents,https://www.coventry.gov.uk/directory-record/44791/home-delivered-meals-service-to-elderly-residents
Home educated children,https://www.coventry.gov.uk/directory-record/57634/home-educated-children
Home Educated children served with a School Attendance Order.,https://www.coventry.gov.uk/directory-record/46024/home-educated-children-served-with-a-school-attendance-order-
Home educated children that have been radicalised,https://www.coventry.gov.uk/directory-record/47582/home-educated-children-that-have-been-radicalised
Home educated children: 20115006,https://www.coventry.gov.uk/directory-record/44627/home-educated-children-20115006
Home educated children: 20123266,https://www.coventry.gov.uk/directory-record/46617/home-educated-children-20123266
Home Educated Children: 20123863,https://www.coventry.gov.uk/directory-record/46881/home-educated-children-20123863
Home Educated Children: REQ02322,https://www.coventry.gov.uk/directory-record/48447/home-educated-children-req02322
Home Educated Children: REQ02376,https://www.coventry.gov.uk/directory-record/48458/home-educated-children-req02376
Home Educated Children: REQ03441,https://www.coventry.gov.uk/directory-record/45537/home-educated-children-req03441
Home Education & School Attendance Orders ,https://www.coventry.gov.uk/directory-record/48971/home-education-school-attendance-orders-
Home education services.,https://www.coventry.gov.uk/directory-record/45267/home-education-services-
Home education.,https://www.coventry.gov.uk/directory-record/44935/home-education-
Home Office & Immigration Staff,https://www.coventry.gov.uk/directory-record/43505/home-office-immigration-staff
Home owners behind on their mortgage payments,https://www.coventry.gov.uk/directory-record/47472/home-owners-behind-on-their-mortgage-payments
Home Schooled Children,https://www.coventry.gov.uk/directory-record/47339/home-schooled-children
Home Schooling: REQ00711,https://www.coventry.gov.uk/directory-record/47547/home-schooling-req00711
Home Schooling: REQ04071,https://www.coventry.gov.uk/directory-record/48654/home-schooling-req04071
Home to school transport,https://www.coventry.gov.uk/directory-record/49171/home-to-school-transport
Homecare and the national living wage,https://www.coventry.gov.uk/directory-record/57629/homecare-and-the-national-living-wage
Homecare contracts,https://www.coventry.gov.uk/directory-record/58357/homecare-contracts
Homecare Contracts,https://www.coventry.gov.uk/directory-record/47609/homecare-contracts
Homecare provision,https://www.coventry.gov.uk/directory-record/44934/homecare-provision
Homecare Services,https://www.coventry.gov.uk/directory-record/48146/homecare-services
Homecare Services ,https://www.coventry.gov.uk/directory-record/49096/homecare-services-
Homefinder,https://www.coventry.gov.uk/directory-record/58080/homefinder
Homefinder service.,https://www.coventry.gov.uk/directory-record/44626/homefinder-service-
Homeless & Rough Sleepers,https://www.coventry.gov.uk/directory-record/48553/homeless-rough-sleepers
Homeless & Syrian Refugees,https://www.coventry.gov.uk/directory-record/48190/homeless-syrian-refugees
Homeless living in tents,https://www.coventry.gov.uk/directory-record/45592/homeless-living-in-tents
Homeless rate statistics for CV1.,https://www.coventry.gov.uk/directory-record/43987/homeless-rate-statistics-for-cv1-
Homeless reconnection policy,https://www.coventry.gov.uk/directory-record/45705/homeless-reconnection-policy
Homeless Referrals to Now Medical Ltd ,https://www.coventry.gov.uk/directory-record/45647/homeless-referrals-to-now-medical-ltd-
Homeless Ukrainian nationals,https://www.coventry.gov.uk/directory-record/57927/homeless-ukrainian-nationals
Homelessness,https://www.coventry.gov.uk/directory-record/57430/homelessness
Homelessness and begging in Coventry.,https://www.coventry.gov.uk/directory-record/43986/homelessness-and-begging-in-coventry-
Homelessness and children,https://www.coventry.gov.uk/directory-record/58369/homelessness-and-children
Homelessness data,https://www.coventry.gov.uk/directory-record/48944/homelessness-data
Homelessness data: 20124021,https://www.coventry.gov.uk/directory-record/46958/homelessness-data-20124021
Homelessness data: REQ03501,https://www.coventry.gov.uk/directory-record/43506/homelessness-data-req03501
Homelessness during lockdown,https://www.coventry.gov.uk/directory-record/48791/homelessness-during-lockdown
Homelessness evictions,https://www.coventry.gov.uk/directory-record/59055/homelessness-evictions
Homelessness Gold Standard Scheme.,https://www.coventry.gov.uk/directory-record/46406/homelessness-gold-standard-scheme-
Homelessness in Coventry.,https://www.coventry.gov.uk/directory-record/45032/homelessness-in-coventry-
Homelessness Placements,https://www.coventry.gov.uk/directory-record/47490/homelessness-placements
Homelessness prevention,https://www.coventry.gov.uk/directory-record/48663/homelessness-prevention
Homelessness prevention grant,https://www.coventry.gov.uk/directory-record/57664/homelessness-prevention-grant
Homelessness provision since March 2021,https://www.coventry.gov.uk/directory-record/49080/homelessness-provision-since-march-2021
Homelessness support,https://www.coventry.gov.uk/directory-record/48525/homelessness-support
"Homelessness, Housing and Benefit Fraud",https://www.coventry.gov.uk/directory-record/43905/homelessness-housing-and-benefit-fraud
Homelessness: REQ00363,https://www.coventry.gov.uk/directory-record/47279/homelessness-req00363
Homelessness: REQ00379,https://www.coventry.gov.uk/directory-record/47254/homelessness-req00379
Homelessness: REQ06272,https://www.coventry.gov.uk/directory-record/45360/homelessness-req06272
Homeowners behind on their mortgage payments: REQ01279,https://www.coventry.gov.uk/directory-record/48074/homeowners-behind-on-their-mortgage-payments-req01279
Homeowners behind on their mortgage payments: REQ01357,https://www.coventry.gov.uk/directory-record/48110/homeowners-behind-on-their-mortgage-payments-req01357
Homeowners who are behind on their mortgage repayments,https://www.coventry.gov.uk/directory-record/47923/homeowners-who-are-behind-on-their-mortgage-repayments
Homes affected by flooding,https://www.coventry.gov.uk/directory-record/48384/homes-affected-by-flooding
Homes for Ukraine,https://www.coventry.gov.uk/directory-record/59072/homes-for-ukraine
Homes for Ukraine,https://www.coventry.gov.uk/directory-record/58460/homes-for-ukraine
Homes for Ukraine contact person,https://www.coventry.gov.uk/directory-record/57800/homes-for-ukraine-contact-person
Homes for Ukraine scheme,https://www.coventry.gov.uk/directory-record/57638/homes-for-ukraine-scheme
Homes not eligible for its housing allocation scheme.,https://www.coventry.gov.uk/directory-record/43700/homes-not-eligible-for-its-housing-allocation-scheme-
Homes pursued via debt collection agencies.,https://www.coventry.gov.uk/directory-record/45827/homes-pursued-via-debt-collection-agencies-
Homes the council bought.,https://www.coventry.gov.uk/directory-record/46025/homes-the-council-bought-
HomeSwap Direct and other mutual exchange swap schemes.,https://www.coventry.gov.uk/directory-record/46026/homeswap-direct-and-other-mutual-exchange-swap-schemes-
Horizon team caseload and capacity,https://www.coventry.gov.uk/directory-record/47623/horizon-team-caseload-and-capacity
Horticulture and or Grounds Maintenance Service,https://www.coventry.gov.uk/directory-record/47441/horticulture-and-or-grounds-maintenance-service
Hospital car parking revenue,https://www.coventry.gov.uk/directory-record/48931/hospital-car-parking-revenue
Hospital Education Service pupil cost,https://www.coventry.gov.uk/directory-record/57424/hospital-education-service-pupil-cost
Hospital kitchen hygiene and food safety inspection reports.,https://www.coventry.gov.uk/directory-record/44526/hospital-kitchen-hygiene-and-food-safety-inspection-reports-
Hospital patients into care homes,https://www.coventry.gov.uk/directory-record/44312/hospital-patients-into-care-homes
Hostile vehicle mitigation,https://www.coventry.gov.uk/directory-record/48510/hostile-vehicle-mitigation
Hot Food Takeaway SPD - Appendix B School map,https://www.coventry.gov.uk/directory-record/49179/hot-food-takeaway-spd-appendix-b-school-map
Hotel & B&B Accommodation costs for Homeless People,https://www.coventry.gov.uk/directory-record/47930/hotel-b-b-accommodation-costs-for-homeless-people
Hotels used to accommodate homeless under COVID-19,https://www.coventry.gov.uk/directory-record/48836/hotels-used-to-accommodate-homeless-under-covid-19
Hourly rate for home care ,https://www.coventry.gov.uk/directory-record/48939/hourly-rate-for-home-care-
Hourly rates for Supported Living Services,https://www.coventry.gov.uk/directory-record/48833/hourly-rates-for-supported-living-services
Hours of care.,https://www.coventry.gov.uk/directory-record/44838/hours-of-care-
Housebuilding Register,https://www.coventry.gov.uk/directory-record/48326/housebuilding-register
Household planning applications,https://www.coventry.gov.uk/directory-record/58465/household-planning-applications
Household Recycling,https://www.coventry.gov.uk/directory-record/48388/household-recycling
Household Support Fund,https://www.coventry.gov.uk/directory-record/57764/household-support-fund
Household Support Fund,https://www.coventry.gov.uk/directory-record/57292/household-support-fund
Household Support Fund,https://www.coventry.gov.uk/directory-record/57418/household-support-fund
Household Support Fund,https://www.coventry.gov.uk/directory-record/57803/household-support-fund
Household Support Fund policy ,https://www.coventry.gov.uk/directory-record/57794/household-support-fund-policy-
Household Support Fund scheme,https://www.coventry.gov.uk/directory-record/59070/household-support-fund-scheme
Household Support Fund spend,https://www.coventry.gov.uk/directory-record/57937/household-support-fund-spend
Household Waste & Recycling Centres,https://www.coventry.gov.uk/directory-record/47357/household-waste-recycling-centres
Household Waste Collection,https://www.coventry.gov.uk/directory-record/48353/household-waste-collection
Household Waste Recycling Centre,https://www.coventry.gov.uk/directory-record/48489/household-waste-recycling-centre
Households accommodated in bed and breakfast hotels,https://www.coventry.gov.uk/directory-record/49068/households-accommodated-in-bed-and-breakfast-hotels
Households accommodated under section 17 of the Children Act 1989,https://www.coventry.gov.uk/directory-record/58914/households-accommodated-under-section-17-of-the-children-act-1989
Households considered statutorily overcrowded,https://www.coventry.gov.uk/directory-record/47098/households-considered-statutorily-overcrowded
Households paying Council Tax by direct debit,https://www.coventry.gov.uk/directory-record/57644/households-paying-council-tax-by-direct-debit
Households presenting as homeless - Universal Credit,https://www.coventry.gov.uk/directory-record/59071/households-presenting-as-homeless-universal-credit
Households under-occupying by one bedroom,https://www.coventry.gov.uk/directory-record/45202/households-under-occupying-by-one-bedroom
Households which are part of a sanctuary scheme.,https://www.coventry.gov.uk/directory-record/46498/households-which-are-part-of-a-sanctuary-scheme-
Households with children in arrears of Council Tax,https://www.coventry.gov.uk/directory-record/45899/households-with-children-in-arrears-of-council-tax
Households with children who are homeless.,https://www.coventry.gov.uk/directory-record/43985/households-with-children-who-are-homeless-
Houses for Multiple Occupation.,https://www.coventry.gov.uk/directory-record/43436/houses-for-multiple-occupation-
Housing affordability assessments,https://www.coventry.gov.uk/directory-record/48236/housing-affordability-assessments
Housing Allocations List,https://www.coventry.gov.uk/directory-record/47795/housing-allocations-list
Housing and Right to Buy.,https://www.coventry.gov.uk/directory-record/46325/housing-and-right-to-buy-
Housing applicants and domestic violence.,https://www.coventry.gov.uk/directory-record/46618/housing-applicants-and-domestic-violence-
Housing Applications and Medical Assessments ,https://www.coventry.gov.uk/directory-record/45339/housing-applications-and-medical-assessments-
Housing Assaults,https://www.coventry.gov.uk/directory-record/43374/housing-assaults
Housing Benefit,https://www.coventry.gov.uk/directory-record/49024/housing-benefit
Housing Benefit & Revenues Dept Organisation Chart/Structures,https://www.coventry.gov.uk/directory-record/47564/housing-benefit-revenues-dept-organisation-chart-structures
Housing benefit claimants on variable or fluctuating incomes,https://www.coventry.gov.uk/directory-record/46499/housing-benefit-claimants-on-variable-or-fluctuating-incomes
Housing Benefit claims and accommodation,https://www.coventry.gov.uk/directory-record/45803/housing-benefit-claims-and-accommodation
Housing benefit decision appeals,https://www.coventry.gov.uk/directory-record/44834/housing-benefit-decision-appeals
Housing benefit for 'exempt' or 'supported' accommodation,https://www.coventry.gov.uk/directory-record/47567/housing-benefit-for-exempt-or-supported-accommodation
Housing Benefit paid to Landlords & Social Housing ,https://www.coventry.gov.uk/directory-record/48689/housing-benefit-paid-to-landlords-social-housing-
"Housing Benefit payments, one bedroom properties and social housing providers",https://www.coventry.gov.uk/directory-record/45201/housing-benefit-payments-one-bedroom-properties-and-social-housing-providers
Housing Benefit Spare Room Subsidy and adaptations to property,https://www.coventry.gov.uk/directory-record/44707/housing-benefit-spare-room-subsidy-and-adaptations-to-property
Housing Benefits,https://www.coventry.gov.uk/directory-record/45031/housing-benefits
Housing Benefits,https://www.coventry.gov.uk/directory-record/46151/housing-benefits
Housing Benefits and Social Housing,https://www.coventry.gov.uk/directory-record/47963/housing-benefits-and-social-housing
Housing Benefits for Immigrants/Refugees,https://www.coventry.gov.uk/directory-record/47335/housing-benefits-for-immigrants-refugees
Housing benefits for the top ten claimant families,https://www.coventry.gov.uk/directory-record/44706/housing-benefits-for-the-top-ten-claimant-families
Housing built in flood zones,https://www.coventry.gov.uk/directory-record/57347/housing-built-in-flood-zones
Housing built without Planning Permission,https://www.coventry.gov.uk/directory-record/48343/housing-built-without-planning-permission
Housing complaints/Housing Units/Expenditure,https://www.coventry.gov.uk/directory-record/47748/housing-complaints-housing-units-expenditure
Housing Department Structure Chart,https://www.coventry.gov.uk/directory-record/47820/housing-department-structure-chart
Housing development applications refused.,https://www.coventry.gov.uk/directory-record/45842/housing-development-applications-refused-
Housing disrepair orders,https://www.coventry.gov.uk/directory-record/57349/housing-disrepair-orders
Housing downsizes and overcrowding.,https://www.coventry.gov.uk/directory-record/44209/housing-downsizes-and-overcrowding-
Housing enquiry.,https://www.coventry.gov.uk/directory-record/44833/housing-enquiry-
Housing First Contract,https://www.coventry.gov.uk/directory-record/57360/housing-first-contract
Housing for 16 and 17 year olds.,https://www.coventry.gov.uk/directory-record/45413/housing-for-16-and-17-year-olds-
Housing for ex-servicemen,https://www.coventry.gov.uk/directory-record/45591/housing-for-ex-servicemen
Housing for military veterans,https://www.coventry.gov.uk/directory-record/45572/housing-for-military-veterans
Housing for Veterans and Refugees,https://www.coventry.gov.uk/directory-record/48434/housing-for-veterans-and-refugees
Housing move requests.,https://www.coventry.gov.uk/directory-record/44208/housing-move-requests-
Housing of ex-offenders/vulnerable adults,https://www.coventry.gov.uk/directory-record/44625/housing-of-ex-offenders-vulnerable-adults
Housing Planning Policies,https://www.coventry.gov.uk/directory-record/48226/housing-planning-policies
Housing properties prioritised to people in employment.,https://www.coventry.gov.uk/directory-record/43699/housing-properties-prioritised-to-people-in-employment-
Housing provision for young people,https://www.coventry.gov.uk/directory-record/49134/housing-provision-for-young-people
Housing Related Support Contracts,https://www.coventry.gov.uk/directory-record/48134/housing-related-support-contracts
Housing schemes - over 500 dwellings,https://www.coventry.gov.uk/directory-record/47149/housing-schemes-over-500-dwellings
Housing stock not within Council's boundaries.,https://www.coventry.gov.uk/directory-record/43984/housing-stock-not-within-council-s-boundaries-
Housing stock transfers into community ownership.,https://www.coventry.gov.uk/directory-record/46326/housing-stock-transfers-into-community-ownership-
Housing stock with external wall insulation.,https://www.coventry.gov.uk/directory-record/46248/housing-stock-with-external-wall-insulation-
Housing Targets and Overspill,https://www.coventry.gov.uk/directory-record/48028/housing-targets-and-overspill
Housing tenants and benefits.,https://www.coventry.gov.uk/directory-record/43983/housing-tenants-and-benefits-
Housing transfer to Whitefriars and upheld Council policies.,https://www.coventry.gov.uk/directory-record/45953/housing-transfer-to-whitefriars-and-upheld-council-policies-
Housing Waiting List,https://www.coventry.gov.uk/directory-record/57912/housing-waiting-list
Housing waiting lists: 20117330,https://www.coventry.gov.uk/directory-record/44525/housing-waiting-lists-20117330
Housing Waiting Lists: REQ00113,https://www.coventry.gov.uk/directory-record/43746/housing-waiting-lists-req00113
Housing: 20106555,https://www.coventry.gov.uk/directory-record/44932/housing-20106555
Housing: 20123751,https://www.coventry.gov.uk/directory-record/43694/housing-20123751
Housing: 20124024,https://www.coventry.gov.uk/directory-record/47023/housing-20124024
Housing: REQ00516,https://www.coventry.gov.uk/directory-record/47653/housing-req00516
How Many Children's Social Workers Do You Employ,https://www.coventry.gov.uk/directory-record/46897/how-many-children-s-social-workers-do-you-employ
How Many FTE Equivalent Staff Does Adult Services Employ,https://www.coventry.gov.uk/directory-record/43695/how-many-fte-equivalent-staff-does-adult-services-employ
How Many Knives have been Confiscated from Pupils,https://www.coventry.gov.uk/directory-record/46948/how-many-knives-have-been-confiscated-from-pupils
How many people pay charges for social care,https://www.coventry.gov.uk/directory-record/45527/how-many-people-pay-charges-for-social-care
How Many Staff Employed by the Local Authority on Zero Hours Contracts,https://www.coventry.gov.uk/directory-record/47006/how-many-staff-employed-by-the-local-authority-on-zero-hours-contracts
How Many Teachers Signed off Work due to Anxiety/Stress/Depression,https://www.coventry.gov.uk/directory-record/46960/how-many-teachers-signed-off-work-due-to-anxiety-stress-depression
